Bedroom,Bathroom,Sqft,Price,Parking,Address,Yearbuild
2 Beds,2 Baths,"1,275 sqft","$339,000",No Info,"390 San Antonio Ave #13San Diego, CA 92106",1965
2 Beds,2 Baths,896 sqft,"$511,900",Garage,"4615 Pico St #8San Diego, CA 92109",2004
3 Beds,2 Baths,956 sqft,"$450,000",Garage,"1927 Pueblo StSan Diego, CA 92113",1925
2 Beds,2 Baths,"1,466 sqft","$169,900",No Info,"1951 47th St #146San Diego, CA 92102",2014
3 Beds,2 Baths,"1,918 sqft","$999,000",Open Parking,"3610 Mount Aladin AveSan Diego, CA 92111",1959
4 Beds,4 Baths,"3,960 sqft","$7,925,000",2 Car Garage,"5316 Calumet AveLa Jolla, CA 92037",1980
3 Beds,3 Baths,"1,121 sqft","$999,000",Garage,"1641 29th StSan Diego, CA 92102",1952
5 Beds,3 Baths,"1,567 sqft","$742,900",Garage,"220 Encinitas AveSan Diego, CA 92114",1973
3 Beds,2 Baths,"1,434 sqft","$345,000",Carport,"10770 Black Mountain RdSan Diego, CA 92126",2022
4 Beds,5 Baths,"5,139 sqft","$13,595,000",Garage,"5850 Camino De La CostaLa Jolla, CA 92037",2016
3 Beds,2 Baths,"1,448 sqft","$972,900",Garage,"10690 Eglantine CtSan Diego, CA 92131",1995
3 Beds,2 Baths,"1,684 sqft","$979,000",2 Car Garage,"7479 Blix StSan Diego, CA 92111",2000
2 Beds,1 Bath,836 sqft,"$569,000",Garage,"1505 49th StSan Diego, CA 92102",1942
4 Beds,2 Baths,"1,174 sqft","$615,000",2 Car Garage,"1135 Kelton RdSan Diego, CA 92114",1958
1 Bed,1 Bath,650 sqft,"$450,000",Garage,"948 G St #22San Diego, CA 92101",1999
4 Beds,2 Baths,"1,137 sqft","$689,000",1 Car Garage,"1862 Hanford DrSan Diego, CA 92111",1984
2 Beds,2 Baths,"1,120 sqft","$399,900",No Info,"6821 Alvarado Rd #1San Diego, CA 92120",1970
4 Beds,5 Baths,"3,972 sqft","$13,795,000",2 Car Garage,"274 Coast BlvdLa Jolla, CA 92037",1991
3 Beds,3 Baths,"1,275 sqft","$1,595,000",Garage,"1621 29th StSan Diego, CA 92102",1916
4 Beds,3 Baths,"1,283 sqft","$949,000",2 Car Garage,"4628 Alma PlSan Diego, CA 92115",1949
4 Beds,3 Baths,"1,620 sqft","$975,000",Garage,"4801 Diane AveSan Diego, CA 92117",1961
2 Beds,2 Baths,748 sqft,"$399,000",Garage,"4075 Marlborough Ave #7San Diego, CA 92105",1982
3 Beds,2 Baths,"1,258 sqft","$515,000",Garage,"10232 Black Mountain Rd #103San Diego, CA 92126",1978
5 Beds,3 Baths,"3,148 sqft","$940,000",3 Car Garage,"4759 Sea Water LnSan Diego, CA 92154",2003
3 Beds,2 Baths,"1,342 sqft","$599,999",No Info,"4133 Jamul AveSan Diego, CA 92113",1925
3 Beds,3 Baths,"1,923 sqft","$769,900",2 Car Garage,"5171 Mariner DrSan Diego, CA 92154",2004
4 Beds,3 Baths,"2,215 sqft","$1,299,000",3 Car Garage,"13166 Dufresne PlSan Diego, CA 92129",1987
3 Beds,2 Baths,"1,185 sqft","$709,000",Carport,"10653 Esmeraldas DrSan Diego, CA 92124",1973
3 Beds,2 Baths,"1,306 sqft","$749,000",1 Car Garage,"4044 Casita WaySan Diego, CA 92115",1955
3 Beds,2 Baths,"1,492 sqft","$795,000",2 Car Garage,"7821 Gloria Lake AveSan Diego, CA 92119",1963
4 Beds,5 Baths,"4,341 sqft","$5,995,000",2 Car Garage,"1683 El Paso RealLa Jolla, CA 92037",1990
3 Beds,2 Baths,"1,387 sqft","$1,399,000",2 Car Garage,"3125 31st StSan Diego, CA 92104",1991
4 Beds,3 Baths,"2,630 sqft","$1,725,000",3 Car Garage,"4229 Via Mar De DelfinasSan Diego, CA 92130",2000
5 Beds,3 Baths,"1,932 sqft","$730,000",2 Car Garage,"4084 Chanute StSan Diego, CA 92154",1970
3 Beds,3 Baths,"1,748 sqft","$1,024,999",2 Car Garage,"14137 Via CorsiniSan Diego, CA 92128",1992
4 Beds,3 Baths,"2,277 sqft","$1,150,000",Garage,"7214 Melotte StSan Diego, CA 92119",1982
4 Beds,3 Baths,"1,875 sqft","$1,299,000",2 Car Garage,"3980 Sioux AveSan Diego, CA 92117",1969
2 Beds,1 Bath,788 sqft,"$376,200",No Info,"3567 Ruffin Rd #236San Diego, CA 92123",1975
4 Beds,3 Baths,"2,133 sqft","$1,174,999",2 Car Garage,"7338 Turnford DrSan Diego, CA 92119",1968
7 Beds,10 Baths,"12,628 sqft","$22,995,000",6 Car Garage,"Address Not DisclosedLa Jolla, CA 92037",2018
3 Beds,2 Baths,"1,524 sqft","$890,000",Garage,"4982 Mount Casas DrSan Diego, CA 92117",1958
4 Beds,3 Baths,"2,241 sqft","$1,295,000",2 Car Garage,"9526 Babauta RdSan Diego, CA 92129",1993
5 Beds,3 Baths,"3,296 sqft","$1,699,000",3 Car Garage,"9830 Fox Valley WaySan Diego, CA 92127",2002
5 Beds,6 Baths,"4,429 sqft","$3,300,000",2 Car Garage,"14067 Caminito VistanaSan Diego, CA 92130",2001
4 Beds,3 Baths,"1,635 sqft","$849,900",Garage,"5004 Ensign StSan Diego, CA 92117",1958
3 Beds,3 Baths,"1,440 sqft","$854,900",Garage,"3384 Aveley PlSan Diego, CA 92111",1989
7 Beds,9 Baths,"10,300 sqft","$28,000,000",3 Car Garage,"308 Vista De La PlayaLa Jolla, CA 92037",2000
3 Beds,3 Baths,"1,402 sqft","$894,900",1 Parking Spaces,"1711 Hornblend St #DSan Diego, CA 92109",2000
3 Beds,2 Baths,"1,087 sqft","$474,999",Garage,"7750 Margerum Ave #218San Diego, CA 92120",1975
4 Beds,3 Baths,"2,298 sqft","$1,995,000",2 Car Garage,"5453 Thunderbird LnLa Jolla, CA 92037",1966
5 Beds,3 Baths,"2,483 sqft","$1,200,000",3 Car Garage,"9731 Saskatchewan AveSan Diego, CA 92129",1984
3 Beds,3 Baths,"1,698 sqft","$694,000",1 Car Garage,"3640 White Sage LnSan Diego, CA 92105",1980
2 Beds,2 Baths,858 sqft,"$110,500",No Info,"402 63rd St #8San Diego, CA 92114",2013
3 Beds,2 Baths,"1,588 sqft","$1,690,000",2 Car Garage,"5209 Foothill BlvdSan Diego, CA 92109",1963
5 Beds,3 Baths,"2,740 sqft","$1,300,000",3 Car Garage,"9482 Hito CtSan Diego, CA 92129",1991
3 Beds,2 Baths,"1,330 sqft","$695,000",2 Car Garage,"590 Fergus StSan Diego, CA 92114",1980
4 Beds,5 Baths,"3,396 sqft","$1,250,000",3 Car Garage,"12385 Fairway Pointe RowSan Diego, CA 92128",1989
1 Bed,1 Bath,604 sqft,"$300,000",Open Parking,"9580 Carroll Canyon Rd #160San Diego, CA 92126",1977
4 Beds,3 Baths,"3,331 sqft","$2,395,000",2 Car Garage,"3229 28th StSan Diego, CA 92104",1990
4 Beds,3 Baths,"1,660 sqft","$1,399,000",No Info,"4764-66 Hawley BlvdSan Diego, CA 92116",1922
2 Beds,1 Bath,918 sqft,"$639,000",1 Car Garage,"2720 Tuberose StSan Diego, CA 92105",1945
