Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Price,Location
9400 La Playa St NE,4 Beds,3 Baths,"2,000 sqft",1975,2 Car Garage,"$330,000",Albuquerque
460 Wesley Ct SW,4 Beds,3 Baths,"2,212 sqft",2003,2 Car Garage,"$289,900",Albuquerque
1307 Bernardino Rd NW,2 Beds,1 Bath,815 sqft,1948,No Info,"$155,000",Albuquerque
5215 Cimarron Rd NW,3 Beds,2 Baths,"1,600 sqft",1977,2 Car Garage,"$269,900",Albuquerque
2804 Charleston St NE,4 Beds,3 Baths,"2,445 sqft",1963,2 Car Garage,"$450,000",Albuquerque
7215 Peregrine Rd NE,3 Beds,2 Baths,"1,319 sqft",1999,2 Car Garage,"$299,000",Albuquerque
7300 Bobwhite Ln NE,3 Beds,2 Baths,"1,872 sqft",1987,Garage,"$185,000",Albuquerque
6412 Los Pueblos Pl NW,3 Beds,3 Baths,"1,930 sqft",2005,2 Car Garage,"$245,000",Albuquerque
6628 Lafving St NE,5 Beds,3 Baths,"2,375 sqft",1973,2 Car Garage,"$365,000",Albuquerque
214 Shangri La Ct NW,3 Beds,2 Baths,"2,190 sqft",1949,No Info,"$420,000",Albuquerque
2304 General Marshall St NE,3 Beds,2 Baths,"1,877 sqft",No Info,1 Car Garage,"$304,900",Albuquerque
7127 Westford Pl NW,3 Beds,3 Baths,"1,925 sqft",1998,Garage,"$299,900",Albuquerque
11408 Mahlon Ave NE,3 Beds,2 Baths,"1,227 sqft",1958,1 Car Garage,"$239,000",Albuquerque
3213 Blume St NE,3 Beds,2 Baths,"1,960 sqft",1960,1 Car Garage,"$269,500",Albuquerque
208 Madison St NE,3 Beds,2 Baths,"1,300 sqft",1951,No Info,"$300,000",Albuquerque
702 Dallas St NE,3 Beds,2 Baths,"1,321 sqft",1961,1 Car Garage,"$230,000",Albuquerque
1621 Los Arboles Ave NW,3 Beds,2 Baths,"2,210 sqft",1964,2 Car Garage,"$399,999",Albuquerque
1033 Maxine St NE,4 Beds,3 Baths,"1,851 sqft",1962,1 Car Garage,"$289,990",Albuquerque
8632 Galatin Ct NW,4 Beds,3 Baths,"2,658 sqft",2003,2 Car Garage,"$290,000",Albuquerque
5108 Atrisco Pl NW,3 Beds,3 Baths,"2,261 sqft",1979,No Info,"$285,000",Albuquerque
7605 Purple Cone Rd SW,5 Beds,2 Baths,"2,000 sqft",1999,2 Car Garage,"$250,000",Albuquerque
1608 Georgia St NE,4 Beds,2 Baths,"2,217 sqft",1957,No Info,"$315,000",Albuquerque
9214 Luthy Cir NE,3 Beds,2 Baths,"1,120 sqft",1957,1 Car Garage,"$195,000",Albuquerque
6100 Zimmerman Ave NE,3 Beds,2 Baths,"1,160 sqft",1955,2 Car Garage,"$239,000",Albuquerque
6408 Los Pueblos Pl NW,3 Beds,3 Baths,"1,930 sqft",No Info,2 Car Garage,"$250,000",Albuquerque
2128 Altura Verde Ln NE,3 Beds,3 Baths,"2,060 sqft",No Info,2 Car Garage,"$299,900",Albuquerque
1808 Kirby Ct NE,3 Beds,2 Baths,"1,531 sqft",1971,1 Car Garage,"$235,000",Albuquerque
516 Dakota St SE,3 Beds,2 Baths,"1,556 sqft",1954,Garage,"$160,000",Albuquerque
2727 Hyder Ave SE,2 Beds,1 Bath,"1,130 sqft",1950,No Info,"$269,000",Albuquerque
10216 Green River Pl NW,3 Beds,3 Baths,"2,110 sqft",2000,2 Car Garage,"$325,000",Albuquerque
10635 Pueblo Pl NW,3 Beds,2 Baths,"1,082 sqft",2001,2 Car Garage,"$219,990",Albuquerque
4723 Glendale Rd NW,4 Beds,3 Baths,"1,899 sqft",1926,No Info,"$235,000",Albuquerque
3100 Brian Meadows Pl NW,3 Beds,3 Baths,"2,284 sqft",1999,2 Car Garage,"$550,000",Albuquerque
9720 Stone St NW,3 Beds,3 Baths,"2,378 sqft",No Info,2 Car Garage,"$314,900",Albuquerque
11724 Hagland Ave NE,3 Beds,2 Baths,"1,000 sqft",1964,1 Car Garage,"$179,900",Albuquerque
8016 Wagon Mound Dr NW,4 Beds,3 Baths,"2,400 sqft",1983,3 Car Garage,"$330,000",Albuquerque
7704 Primrose Dr NW,3 Beds,2 Baths,"1,975 sqft",1988,Garage,"$310,000",Albuquerque
820 Madison St NE,3 Beds,1 Bath,"1,395 sqft",1952,1 Car Garage,"$290,000",Albuquerque
12501 Conejo Rd NE,3 Beds,2 Baths,"1,383 sqft",1971,1 Carport Spaces,"$230,000",Albuquerque
4323 Canada Pl NW,4 Beds,3 Baths,"2,961 sqft",2001,2 Car Garage,"$429,500",Albuquerque
516 Tassy Ct SE,4 Beds,3 Baths,"2,340 sqft",1978,Garage,"$315,000",Albuquerque
6700 Ladrillo Pl NE,3 Beds,2 Baths,"1,425 sqft",1998,2 Car Garage,"$280,000",Albuquerque
3300 Montreal St NE,3 Beds,2 Baths,"1,839 sqft",1964,Garage,"$300,000",Albuquerque
11520 Woodmar Ln NE,4 Beds,3 Baths,"2,767 sqft",1986,2 Car Garage,"$599,000",Albuquerque
6925 El Cajon Ct NW,2 Beds,3 Baths,"1,531 sqft",1989,2 Car Garage,"$238,500",Albuquerque
3312 Bahama St NE,3 Beds,2 Baths,"1,341 sqft",1962,Garage,"$279,000",Albuquerque
9509 Layton Ave NE,4 Beds,2 Baths,"1,840 sqft",1977,2 Car Garage,"$315,000",Albuquerque
10832 Maness Ln SW,4 Beds,3 Baths,"3,146 sqft",2006,2 Car Garage,"$355,000",Albuquerque
8220 Tangerine Pl NW,3 Beds,3 Baths,"2,289 sqft",2002,2 Car Garage,"$315,000",Albuquerque
7101 Edwina Ave NE,3 Beds,2 Baths,"1,994 sqft",1960,Garage,"$372,500",Albuquerque
2505 Candelaria Rd NW,3 Beds,3 Baths,"2,175 sqft",2007,2 Car Garage,"$544,000",Albuquerque
10605 Lagrange Park Dr NE,2 Beds,2 Baths,"1,150 sqft",1986,2 Car Garage,"$200,000",Albuquerque
12637 Elyse Pl SE,3 Beds,2 Baths,"1,820 sqft",1978,2 Car Garage,"$250,000",Albuquerque
7415 Pawnee Creek Trl NE,4 Beds,3 Baths,"2,560 sqft",2004,3 Car Garage,"$535,000",Albuquerque
1705 Los Jardines Pl NW,2 Beds,2 Baths,864 sqft,No Info,Garage,"$159,000",Albuquerque
4808 Danube Dr NE,4 Beds,2 Baths,"2,021 sqft",1972,2 Car Garage,"$380,000",Albuquerque
201 Lewis Ave SW,1 Bed,1 Bath,900 sqft,1906,No Info,"$155,000",Albuquerque
2635 Ghost Ranch St SW,3 Beds,3 Baths,"2,140 sqft",2007,2 Car Garage,"$275,000",Albuquerque
1427 Tomasita St NE,4 Beds,2 Baths,"1,573 sqft",1958,1 Car Garage,"$250,000",Albuquerque
10112 Garden Gate Ln SW,3 Beds,3 Baths,"2,245 sqft",2006,2 Car Garage,"$254,900",Albuquerque
1829 Illinois St NE,5 Beds,2 Baths,"1,797 sqft",1954,1 Car Garage,"$225,000",Albuquerque
9109 Crestwood Ave NE,3 Beds,3 Baths,"2,183 sqft",1963,2 Car Garage,"$320,000",Albuquerque
3401 Cagua Dr NE,3 Beds,2 Baths,"1,831 sqft",1955,2 Carport Spaces,"$269,000",Albuquerque
1325 Hertz Dr SE,3 Beds,3 Baths,"3,335 sqft",1975,2 Car Garage,"$435,000",Albuquerque
1020 Indiana St SE,4 Beds,2 Baths,"1,950 sqft",1953,Garage,"$299,900",Albuquerque
14214 Arcadia Rd NE,3 Beds,2 Baths,"2,221 sqft",1979,2 Car Garage,"$250,000",Albuquerque
8920 S Sky St NW,4 Beds,4 Baths,"3,282 sqft",2015,3 Car Garage,"$425,000",Albuquerque
3301 Alvarado Dr NE,4 Beds,2 Baths,"1,471 sqft",1955,Garage,"$249,900",Albuquerque
4801 Irving Blvd NW #2904,2 Beds,2 Baths,"1,170 sqft",1999,1 Car Garage,"$165,000",Albuquerque
1612 San Patricio Ave SW,4 Beds,3 Baths,"2,485 sqft",1956,2 Car Garage,"$619,000",Albuquerque
5705 Alegria Rd NW,4 Beds,2 Baths,"1,705 sqft",1979,No Info,"$239,500",Albuquerque
710 Iron Ave SE,2 Beds,2 Baths,"1,046 sqft",1946,3 Carport Spaces,"$250,000",Albuquerque
2626 Alvarado Dr NE,4 Beds,3 Baths,"2,527 sqft",1950,2 Car Garage,"$379,000",Albuquerque
1420 Vinca Trl NE,3 Beds,2 Baths,"1,853 sqft",2007,2 Car Garage,"$400,000",Albuquerque
600 Central Ave SW #2E,2 Beds,2 Baths,"1,074 sqft",1920,No Info,"$180,000",Albuquerque
13632 Canada Del Oso Pl NE,5 Beds,5 Baths,"6,490 sqft",2004,3 Car Garage,"$2,600,000",Albuquerque
10701 Tranquilo Rd NE,2 Beds,2 Baths,"1,214 sqft",1998,2 Car Garage,"$224,000",Albuquerque
5513 Arvilla Ave NE,4 Beds,3 Baths,"1,914 sqft",No Info,1 Carport Spaces,"$340,000",Albuquerque
5608 Estrellita Del Norte Rd NE,4 Beds,3 Baths,"2,624 sqft",1983,2 Car Garage,"$430,000",Albuquerque
10313 Quarai Ave NE,4 Beds,2 Baths,"2,323 sqft",1960,Garage,"$297,000",Albuquerque
1829 Illinois St NE,5 Beds,2 Baths,"1,797 sqft",1954,1 Car Garage,"$225,000",Albuquerque
9109 Crestwood Ave NE,3 Beds,3 Baths,"2,183 sqft",1963,2 Car Garage,"$320,000",Albuquerque
3401 Cagua Dr NE,3 Beds,2 Baths,"1,831 sqft",1955,2 Carport Spaces,"$269,000",Albuquerque
1325 Hertz Dr SE,3 Beds,3 Baths,"3,335 sqft",1975,2 Car Garage,"$435,000",Albuquerque
1020 Indiana St SE,4 Beds,2 Baths,"1,950 sqft",1953,Garage,"$299,900",Albuquerque
14214 Arcadia Rd NE,3 Beds,2 Baths,"2,221 sqft",1979,2 Car Garage,"$250,000",Albuquerque
8920 S Sky St NW,4 Beds,4 Baths,"3,282 sqft",2015,3 Car Garage,"$425,000",Albuquerque
3301 Alvarado Dr NE,4 Beds,2 Baths,"1,471 sqft",1955,Garage,"$249,900",Albuquerque
4801 Irving Blvd NW #2904,2 Beds,2 Baths,"1,170 sqft",1999,1 Car Garage,"$165,000",Albuquerque
1612 San Patricio Ave SW,4 Beds,3 Baths,"2,485 sqft",1956,2 Car Garage,"$619,000",Albuquerque
5705 Alegria Rd NW,4 Beds,2 Baths,"1,705 sqft",1979,No Info,"$239,500",Albuquerque
710 Iron Ave SE,2 Beds,2 Baths,"1,046 sqft",1946,3 Carport Spaces,"$250,000",Albuquerque
2626 Alvarado Dr NE,4 Beds,3 Baths,"2,527 sqft",1950,2 Car Garage,"$379,000",Albuquerque
1420 Vinca Trl NE,3 Beds,2 Baths,"1,853 sqft",2007,2 Car Garage,"$400,000",Albuquerque
600 Central Ave SW #2E,2 Beds,2 Baths,"1,074 sqft",1920,No Info,"$180,000",Albuquerque
13632 Canada Del Oso Pl NE,5 Beds,5 Baths,"6,490 sqft",2004,3 Car Garage,"$2,600,000",Albuquerque
10701 Tranquilo Rd NE,2 Beds,2 Baths,"1,214 sqft",1998,2 Car Garage,"$224,000",Albuquerque
5513 Arvilla Ave NE,4 Beds,3 Baths,"1,914 sqft",No Info,1 Carport Spaces,"$340,000",Albuquerque
5608 Estrellita Del Norte Rd NE,4 Beds,3 Baths,"2,624 sqft",1983,2 Car Garage,"$430,000",Albuquerque
10313 Quarai Ave NE,4 Beds,2 Baths,"2,323 sqft",1960,Garage,"$297,000",Albuquerque
1028 Guadalupe Del Prado St NW,3 Beds,3 Baths,"2,383 sqft",1971,2 Carport Spaces,"$360,000",Albuquerque
5020 Sevilla Ave NW,4 Beds,3 Baths,"4,210 sqft",2007,3 Car Garage,"$1,395,000",Albuquerque
3605 Mesa Verde Ave NE,3 Beds,2 Baths,"1,503 sqft",1940,1 Car Garage,"$334,500",Albuquerque
11000 Los Arboles Ave NE,3 Beds,3 Baths,"1,615 sqft",1961,1 Car Garage,"$276,900",Albuquerque
5905 Mimosa Pl NE,5 Beds,4 Baths,"3,641 sqft",1989,Garage,"$759,000",Albuquerque
1004 Calle Corvo NE,4 Beds,2 Baths,"1,892 sqft",2004,2 Car Garage,"$375,000",Albuquerque
10325 Karen Ave NE,4 Beds,2 Baths,"2,352 sqft",No Info,No Info,"$295,000",Albuquerque
7609 Rio Guadalupe Pl NE,4 Beds,3 Baths,"2,699 sqft",2001,3 Car Garage,"$500,000",Albuquerque
2908 Vista Grande Dr NW,4 Beds,3 Baths,"3,442 sqft",1989,2 Car Garage,"$550,000",Albuquerque
505 San Pedro Dr SE,3 Beds,3 Baths,"2,159 sqft",1946,No Info,"$259,900",Albuquerque
723 Parkland Cir SE,4 Beds,5 Baths,"3,635 sqft",1973,4 Car Garage,"$550,000",Albuquerque
